Наименование	Цены
Консультация и план лечения	Бесплатно ₽
Лечение десен с аппаратом Vector	18 000 ₽
1 имплант Osstem	18 000 ₽
2 импланта Osstem	36 000 ₽
Отбеливание системой Zoom 4 – 2 челюсти	от 22 000 ₽
Консультация врача – ортодонта	500 ₽
Диагностической обследование (Изготовление и анализ диагностических моделей, анализ снимка ОПТГ, постановка диагноза)	5 000 ₽
Консультация по результатам диагноза, составление плана лечения, конструкция аппарата, подбор, расчет стоимости	1 500 ₽
Составление плана лечения	1 000 ₽
Снятие слепков (1 челюсть)	500 ₽
Отливка моделей (1 челюсть)	500 ₽
Ортодонтическая пластина	от 14000-25000 ₽
Профессиональная гигиена полости рта Air flow + ультразвук	6 000 ₽
